Category,Data element
"Personal identifiers and contact","Name"
"Personal identifiers and contact","Email address"
"Personal identifiers and contact","Institutional student identifier"
"Personal identifiers and contact","LinkedIn profile URL (profile field)"
"Personal identifiers and contact","GitHub username (profile field)"
"Authentication","Password (processed as hash on server)"
"Authentication","Google sign-in: email and display name"
"Authentication","Session or access tokens stored in the browser"
"Education, skills, roles","Major / field of study"
"Education, skills, roles","Academic year"
"Education, skills, roles","Role(s) on the platform"
"Education, skills, roles","Preferred programming language"
"Files and images","Profile photograph"
"Files and images","CV / résumé file"
"Work and visibility preferences","Work arrangement and schedule preferences"
"Work and visibility preferences","Preference regarding visibility to employers"
"Communications (user-authored)","Message text (group, private, mentor, customer chats)"
"Communications (user-authored)","Participant email addresses in chat logs"
"Communications (user-authored)","Message timestamps (within logs)"
"Support","Name and email on support submissions"
"Support","Description of the request"
"Support","Priority level"
"Meetings (user-supplied)","Email address used in meeting-related flows"
"Meetings (user-supplied)","Meeting times and links (when entered by users)"
"Meetings (user-supplied)","Attendance and join time (when derived from user action)"
"Waitlist / interest registration","Name and email"
"Waitlist / interest registration","Optional organization name and future role"
"Waitlist / interest registration","Category or type of interest"
"External collaboration onboarding","Channel or workspace identifiers (pasted or selected by user)"
"External collaboration onboarding","Notes entered during connection flows"
"Links and artifacts attached to boards or projects","Presentation, social, video, demo or publish URLs (user-entered)"
"Links and artifacts attached to boards or projects","Named document links (URL and display name)"
"Links and artifacts attached to boards or projects","Resource title and URL (including whether link is treated as Figma)"
"Links and artifacts attached to boards or projects","Schema or journey URLs (when entered via media or similar flows)"
"Source code and GitHub (user activity)","Source code, commits, branches, pull requests, and issues in repositories on GitHub (primary storage: GitHub; platform may read via integration)"
"Source code and GitHub (user activity)","Repository and branch URLs or names linked or supplied through the platform"
"Source code and GitHub (user activity)","GitHub OAuth or access tokens when the user authorizes GitHub integration"
"Source code and GitHub (user activity)","Email addresses used for collaborator or repository invitations"
"Source code and GitHub (user activity)","Code review, merge, or PR-related content processed through the platform (e.g. snippets, diffs, titles, metadata)"
"Source code and GitHub (user activity)","IDE- or tool-generated source artifacts stored in the platform (e.g. file paths and file contents in chunk JSON), which may mirror or supplement repo content"
"Design (user-connected or user-uploaded)","Figma OAuth access and refresh tokens (from user authorization)"
"Design (user-connected or user-uploaded)","Figma file URL and file key"
"Design (user-connected or user-uploaded)","Figma user identifier"
"Design (user-connected or user-uploaded)","Design document text or PDF and version details (when provided by users)"
"Design (user-connected or user-uploaded)","Created-by attribution string (where users supply it)"
"Product and backlog (user-authored)","User story titles, descriptions, and acceptance criteria (when edited by users)"
"Product and backlog (user-authored)","Sprint or module association for stories (when set by users)"
"Product and backlog (user-authored)","Sprint plan content as edited by users"
"Product and backlog (user-authored)","Board template data insofar as it reflects user-edited card content"
"Project preferences and selection","Project type or criteria selections"
"Project preferences and selection","Ranked order of preferred projects"
"Project preferences and selection","Checkout or allocation selections (including student data supplied in those flows)"
"Work tracking (user-reported)","Bug or task title, description, comments, priority, and status (as entered)"
"Work tracking (user-reported)","Creator identifier (e.g. email) where required"
"Stakeholder information (user-entered on a board)","Stakeholder name"
"Stakeholder information (user-entered on a board)","Free-text notes or delta fields"
"Stakeholder information (user-entered on a board)","Alignment or scoring values where the user sets them"
"Information stored on the user's device","Cached session data (e.g. email, user type, student identifier, checkout payloads, sign-up mode)"
